handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_7acfa8eb-b68b-1de1-9900-c421bd85313d,Product,"Mexico, Chiapas","<p>** To fully experience all the wonderful flavor notes, this bean is roasted on the light/medium&nbsp;side&nbsp;**</p><p>(Weekly Roast day: Monday )</p><p>&nbsp;</p><p>Tasting Notes: Chocolate - Citrus&nbsp;- Sweet Caramel</p><p>&nbsp;</p><p>Country: Mexico</p><p>La Frailesca, Chiapas<br>Community:&nbsp;Montecristo de Guerrero<br>Producing Societies: Arte Divino Café<br>Dry Processing Mill: Duende</p><p>Altitude: 3937 - 4593 ft</p><p>Population:&nbsp; 832 People ( 96% Indigenous Cora )</p><p>Varieties: Bourbon, Typica, Marsellesa, Costa Rica, Oro Azteca, Márago, Caturra, Peñasco</p><p>Organic Certified</p><p>&nbsp;</p><p>Some more background info:&nbsp;<br>The Arte Divino cooperative was founded in 2020 after more than 10 years of working with organizations like INIFAP to develop sustainable practices that benefit both the community and the environment. Their goal was to improve coffee commercialization and qualify for government and NGO support. However, not all objectives were met until Erwing Iturbe, founder of Arte Divino Café, joined. His company has focused on managing and promoting coffee sales, leading to better incomes for farming families. Arte Divino is a Chiapas-based company working closely with coffee producers and their families, dedicated to sustainable, high-quality coffee with exceptional flavor. Their philosophy is rooted in direct trade, economic transparency, equity, and environmental respect, using controlled shade farming and organic practices while ensuring quality and traceability in line with Specialty Coffee Association (SCA) standards.</p>",d59a0c_bc09e61419dc42cfb1731f993190cd78~mv2.webp;d59a0c_e5ce9fa8b72942b7b7e2423e36744b05~mv2.png;d59a0c_c37aad2ccc674f609de9fb60eaf92bb2~mv2.jpeg,Coffee Beans,,New Arrival,22.0,,true,PERCENT,0.0,InStock,,,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7acfa8eb-b68b-1de1-9900-c421bd85313d,Variant,,,,,,,,,true,,,InStock,,,,,Ground,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7acfa8eb-b68b-1de1-9900-c421bd85313d,Variant,,,,,,,,13.2,true,,,InStock,,,,,Whole Bean,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7acfa8eb-b68b-1de1-9900-c421bd85313d,Variant,,,,,,,,13.2,true,,,InStock,,,,,Ground,,,16 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7acfa8eb-b68b-1de1-9900-c421bd85313d,Variant,,,,,,,,87.2,false,,,InStock,,,,,Ground,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7acfa8eb-b68b-1de1-9900-c421bd85313d,Variant,,,,,,,,134.0,true,,,InStock,,,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7acfa8eb-b68b-1de1-9900-c421bd85313d,Variant,,,,,,,,,true,,,InStock,,,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_559fcc9f-7f98-da1b-3615-da0ac7b62dcb,Product,"Mexico, Presidio","<p>** To fully experience all the wonderful flavor notes, this bean is roasted on the lighter&nbsp;side&nbsp;**</p><p>(Weekly Roast day: Monday )</p><p>&nbsp;</p><p>Tasting Notes: Chocolate - Nutty - Sweet Cream</p><p>&nbsp;</p><p>Country: Mexico</p><p>State: Nayarit<br>Community:&nbsp;Presidio&nbsp;de los Reyes<br>Producing Societies: CUERNO<br>Wet Processing Mills: Banco Colorado, Guajolote, Sombrero, and Tempizque<br>Dry Processing Mill: Duende</p><p>Altitude: 2601 Feet</p><p>Population:&nbsp; 832 People ( 96% Indigenous Cora )</p><p>Varieties: 60% Catuai, 15% Caturra, 25% Typica.&nbsp;</p><p>Organic Certified</p><p>Shade Grown, Smithsonian Bird Friendly Certification&nbsp;</p><p>&nbsp;</p><p>Some more background info:&nbsp;<br><br>The coffee of&nbsp;Presidio&nbsp;de los Reyes is cultivated in small patches (parcelas) in the forest, which are typically just a few hectares. ""Tierras de uso común"" is the designation under Mexico's agrian laws. No individual member can sell or privatize their portion of the land, as it is meant to remain a shared resource for the community. There are about 20 producers in total, who make up the CUERNO Society. They are all members of the indigenous Cora people, with the older generation speaking very little Spanish.&nbsp;<br><br>There are five small wet mills used by these farmers: Sobrero, Guajolote, Tempizque, Banco Colorado I, and Banco Colorado II. Each mill has a small pulper and raised drying beds. From the wet mills, the parchment is packed on mules down to a local bodega in town, managed by Sr. Diego. From Diego's warehouse, it's trucked to the El Duende Dry Mill in Compostela for processing and container stuffing. And then... voila!&nbsp;</p>",d59a0c_bd0632d1d7f94646bd58a86e7af90d80~mv2.jpg;d59a0c_9aa99c2141f542728824ae51431c0085~mv2.jpg;d59a0c_bd805bde73644373979ef61646109fd4~mv2.jpg;d59a0c_79be7070c5f741e0acfeb532d28e66f4~mv2.jpg,Coffee Beans,,Light Roast,18.0,,true,PERCENT,0.0,InStock,,,Type,DROP_DOWN,Whole Bean;Ground,Size,DROP_DOWN,10 oz;16 oz;5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_559fcc9f-7f98-da1b-3615-da0ac7b62dcb,Variant,,,,,,,,,true,,,InStock,,,,,Whole Bean,,,10 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_559fcc9f-7f98-da1b-3615-da0ac7b62dcb,Variant,,,,,,,,110.0,true,,,InStock,,,,,Whole Bean,,,5 lbs (11%Savings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
